id;nom;type;prioritaire;identite;depart;stats;cpx;faiblesse;signature;aptitudes;ultime;transformations;deblocage;orientations;base
CHR_001;Naruto Uzumaki;BASE;True;Submerger par le nombre : clones, Rasengan porté par les clones, crapauds.;JUT_217;"{""pv"": 120, ""depl"": 4.5, ""notes"": ""Régénération +0,3/s de base (vitalité Uzumaki)""}";"{""nom"": ""Volonté indomptable"", ""effet"": ""Sous 30 % de PV : +15 % Cadence et +1 clone au plafond de JUT_217 (et de ses évolutions).""}";"Puissance brute individuelle faible avant 8 min ; peu de contrôle.";Les clones héritent du Rasengan : si JUT_281 est possédé, chaque clone lance un Rasengan à 60 % à sa disparition (1 fois par clone).;"[""ELEM_FUTON"", ""CLAN_UZUMAKI"", ""APT_RASEN"", ""CTR_CRAPAUD"", ""APT_JINCH""]";ULT_001;"[""TRF_001"", ""TRF_024""]";"{""type"": ""DEPART""}";"[""Armée de clones"", ""Rasengan / Rasenshuriken"", ""Invocations de crapauds""]";
CHR_002;Naruto — Mode Ermite;VARIANTE;;Mêlée étendue par l'énergie naturelle : immobilité = puissance.;JUT_281;"{""pv"": 130, ""depl"": 4.3, ""notes"": ""Pas de régénération de base""}";"{""nom"": ""Kawazu Kumite (Kumite de la grenouille)"", ""effet"": ""Les attaques CONTACT gagnent +1 m de portée invisible (aura) ; rester immobile 1 s charge l'énergie naturelle (+10 %/s de Puissance, max +40 %, perdue en 2 s de mouvement).""}";Récompense l'immobilité : dangereux face aux tireurs et poseurs de pièges.;"Jauge d'énergie naturelle visible sous le portrait ; Kage Bunshin non disponible au départ.";"[""ELEM_FUTON"", ""CLAN_UZUMAKI"", ""APT_RASEN"", ""CTR_CRAPAUD"", ""APT_SENJ"", ""APT_JINCH""]";ULT_002;"[""TRF_002""]";"{""type"": ""MAITRISE"", ""niveau"": 4, ""ref"": ""MIS_102""}";"[""Rasengan ermite au contact"", ""Crapauds et Chant des crapauds""]";CHR_001
CHR_003;Naruto — Chakra de Kurama;VARIANTE;;Vitesse et bras de chakra : clones de masse éphémères et orbes de démon.;JUT_218;"{""pv"": 140, ""depl"": 5.0, ""notes"": ""Gain de chakra +20 %""}";"{""nom"": ""Bras de chakra"", ""effet"": ""Chaque clone de JUT_218 frappe avec un bras de chakra qui touche 2 cibles en ligne.""}";Défense faible (Armure plafonnée à 8 pour cette entrée).;"L'ultime peut être chargé 2 fois (stock de 200) ; le second tir coûte 100 mais sort 1,5 s après le premier.";"[""ELEM_FUTON"", ""CLAN_UZUMAKI"", ""APT_RASEN"", ""CTR_CRAPAUD"", ""APT_JINCH""]";ULT_003;"[""TRF_003"", ""TRF_004""]";"{""type"": ""MAITRISE"", ""niveau"": 7, ""ref"": ""MIS_103""}";"[""Déferlement de clones éphémères"", ""Bijūdama et Rasenshuriken""]";CHR_001
CHR_004;Sasuke Uchiha;BASE;True;Précision Uchiha : flammes à distance, foudre en réponse au danger.;JUT_001;"{""pv"": 100, ""depl"": 4.7, ""notes"": ""Chance critique +5 %""}";"{""nom"": ""Sharingan (3 tomoe)"", ""effet"": ""Les attaques télégraphiées d'ennemis ordinaires sont vues 0,15 s plus tôt (contour rouge) ; esquive parfaite : fenêtre +0,1 s.""}";"PV faibles ; peu de soins accessibles.";Chaque esquive parfaite réduit de 50 % le délai restant de la technique Raiton la plus lente.;"[""ELEM_KATON"", ""ELEM_RAITON"", ""CLAN_UCHIHA"", ""DOJ_SHARINGAN"", ""CTR_FAUCON"", ""APT_KENJ""]";ULT_004;"[""TRF_005""]";"{""type"": ""DEPART""}";"[""Tempête de foudre (Chidori, Kirin)"", ""Flammes Uchiha (Gōkakyū, Gōryūka)""]";
CHR_005;Sasuke — Taka;VARIANTE;;Kenjutsu électrifié : estocs, courant et serpents.;JUT_199;"{""pv"": 110, ""depl"": 4.9, ""notes"": ""—""}";"{""nom"": ""Lame conductrice"", ""effet"": ""Les techniques CONTACT de famille OUTIL comptent comme Raiton (tag E_RAITON ajouté).""}";"Portée courte hors foudre ; le Katon est moins accessible (pas de Doctrine Katon).";Chidori Nagashi (JUT_051) déclenché après chaque estoc touchant ≥ 3 cibles (délai interne 2 s).;"[""ELEM_KATON"", ""ELEM_RAITON"", ""CLAN_UCHIHA"", ""DOJ_SHARINGAN"", ""CTR_SERPENT"", ""CTR_FAUCON"", ""APT_KENJ""]";ULT_004;[];"{""type"": ""MAITRISE"", ""niveau"": 4, ""ref"": ""MIS_105""}";"[""Kusanagi électrique"", ""Serpents et Kirin""]";CHR_004
CHR_006;Sasuke — Mangekyō éternel;VARIANTE;;Flammes noires façonnées : Enton, Amaterasu, Susanoo.;JUT_154;"{""pv"": 110, ""depl"": 4.6, ""notes"": ""—""}";"{""nom"": ""Contrôle de l'Enton"", ""effet"": ""Toute Brûlure noire posée par le joueur peut être façonnée : +1 cumul maximal (6) et propagation de 1 cumul à 1 voisin toutes les 2 s.""}";"Techniques lourdes à délai long ; début lent.";Les flammes noires restent lisibles sur fond sombre (contour blanc) et leurs dégâts ×2 ne s'appliquent qu'aux Brûlures noires.;"[""ELEM_KATON"", ""ELEM_RAITON"", ""CLAN_UCHIHA"", ""DOJ_SHARINGAN"", ""DOJ_MANGEKYO"", ""KG_ENTON"", ""APT_KENJ""]";ULT_005;"[""TRF_006""]";"{""type"": ""MAITRISE"", ""niveau"": 7, ""ref"": ""MIS_106""}";"[""Brasier noir propagé"", ""Susanoo et Raiton""]";CHR_004
CHR_007;Sakura Haruno;BASE;True;Force contrôlée et médecine : peu de coups, chacun décisif, soins mesurés.;JUT_175;"{""pv"": 110, ""depl"": 4.4, ""notes"": ""Soins reçus +20 %""}";"{""nom"": ""Contrôle précis du chakra"", ""effet"": ""Les coups de taijutsu critiques libèrent une onde de 1,5 m (40 % des dégâts) ; délai interne 0,5 s.""}";"Portée courte ; dépend du positionnement.";Techniques médicales : chaque élimination d'élite soigne 8 % des PV max (dans le plafond de soin).;"[""ELEM_DOTON"", ""APT_MED"", ""CTR_LIMACE"", ""APT_GEN""]";ULT_006;[];"{""type"": ""DEPART""}";"[""Frappes tectoniques"", ""Soutien médical et genjutsu défensif""]";
CHR_008;Kakashi Hatake;BASE;True;Ninja aux mille techniques : copie et polyvalence élémentaire.;JUT_050;"{""pv"": 105, ""depl"": 4.6, ""notes"": ""Pool élargi : +1 technique admissible par élément possédé""}";"{""nom"": ""Copie du Sharingan"", ""effet"": ""Une fois par run, après avoir vu 3 fois une technique d'élite, le joueur reçoit une carte bonus pour une technique de base admissible de même famille.""}";Chakra limité : ultime gagne −15 % de chakra.;Peut équiper 2 techniques de familles élémentaires différentes avec +10 % de Puissance chacune (bonus « Polyvalence »).;"[""ELEM_RAITON"", ""ELEM_DOTON"", ""ELEM_SUITON"", ""ELEM_KATON"", ""DOJ_SHARINGAN"", ""CTR_CHIEN"", ""APT_KENJ"", ""APT_GEN""]";ULT_008;[];"{""type"": ""PREMIERE_RUN""}";"[""Raiton et meute de ninken"", ""Mosaïque élémentaire Suiton-Doton""]";
CHR_009;Kakashi — Kamui;VARIANTE;;Contrôle de l'espace à distance : effacer des zones entières.;JUT_310;"{""pv"": 100, ""depl"": 4.6, ""notes"": ""—""}";"{""nom"": ""Double Mangekyō"", ""effet"": ""Kamui (JUT_310) peut être lancé avec 2 charges ; la 2e charge se recharge en 12 s.""}";Défense faible et peu d'aire continue.;Les ennemis éliminés par Kamui ne laissent pas de fragments : leur XP arrive directement (+10 %).;"[""ELEM_RAITON"", ""ELEM_DOTON"", ""ELEM_SUITON"", ""DOJ_SHARINGAN"", ""DOJ_MANGEKYO"", ""CTR_CHIEN""]";ULT_009;"[""TRF_022""]";"{""type"": ""MAITRISE"", ""niveau"": 6, ""ref"": ""MIS_109""}";"[""Effacement spatial"", ""Raiton de précision""]";CHR_008
CHR_010;Kakashi — ANBU;VARIANTE;;Assassin : attaques de dos, pièges et chiens.;JUT_200;"{""pv"": 95, ""depl"": 5.0, ""notes"": ""Chance critique +10 %""}";"{""nom"": ""Masque de chien"", ""effet"": ""Les ennemis ciblant autre chose que le joueur (clones, leurres) reçoivent +30 % de dégâts de sa part.""}";Très fragile au contact.;Esquive : laisse un leurre qui provoque 1,5 s.;"[""ELEM_RAITON"", ""DOJ_SHARINGAN"", ""CTR_CHIEN"", ""APT_KENJ""]";ULT_008;[];"{""type"": ""MAITRISE"", ""niveau"": 3, ""ref"": ""MIS_110""}";"[""Frappes de dos et leurres"", ""Pièges et meute""]";CHR_008
CHR_011;Sakura — Byakugō;VARIANTE;;Tank régénérant : encaisser, puis frapper avec la réserve du sceau.;JUT_228;"{""pv"": 140, ""depl"": 4.3, ""notes"": ""—""}";"{""nom"": ""Sceau de la force (réserve)"", ""effet"": ""10 % des soins excédentaires (au-delà du plafond) sont stockés ; à 50 points, le prochain coup de taijutsu libère la réserve en dégâts ×3.""}";Peu de dégâts de zone à distance.;Katsuyu (JUT_228) peut se diviser en 2 limaces (soins partagés, pas cumulés au-delà du plafond).;"[""ELEM_DOTON"", ""APT_MED"", ""CTR_LIMACE""]";ULT_007;"[""TRF_012""]";"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_111""}";"[""Frappes de réserve"", ""Soutien Katsuyu""]";CHR_007
CHR_012;Gaara;BASE;True;Défense mobile automatique puis contrôle de zone par le sable.;JUT_131;"{""pv"": 110, ""depl"": 4.1, ""notes"": ""Armure +2""}";"{""nom"": ""Défense absolue"", ""effet"": ""Suna no Tate (JUT_134) est toujours actif avec 1 charge même sans être équipé (n'occupe pas d'emplacement).""}";"Lent ; faible vitesse de projectile.";Les surfaces SABLE créées par le joueur ralentissent les ennemis et accélèrent le joueur de 10 %.;"[""KG_SABLE"", ""ELEM_FUTON"", ""APT_JINCH""]";ULT_010;"[""TRF_011""]";"{""type"": ""MISSION"", ""ref"": ""MIS_112""}";"[""Forteresse de sable (défense mobile)"", ""Désert contrôlé (Sabaku Kyū / Sōsō)""]";
