id;nom;statut;references;condition;effet;limite;plafond;compatibilite;contrepartie;manifestation;boss_isole
SYN_001;Conduction;CO;"[""E_SUITON"", ""E_RAITON"", ""STA_03""]";"Une attaque Suiton admissible (tag E_SUITON, non SECONDAIRE) applique Trempé (Conducteur) 2 s ; une attaque Raiton directe (non SECONDAIRE) touche une cible Trempée.";"Consomme Trempé et crée jusqu'à 2 arcs vers les ennemis à ≤ 4 m. Chaque arc = 30 % des dégâts de BASE de l'attaque déclenchante × A (Puissance du joueur) × V × R de la cible touchée ; ni M, ni critique.";"1 déclenchement / 0,6 s par propriétaire ; les arcs portent SECONDAIRE et ne redéclenchent pas Conduction.";2 arcs (3 avec PAS_037 niv. 5).;Tous personnages disposant d'au moins une technique E_SUITON et une E_RAITON (ou Ranton, qui compte pour les deux).;Consomme Trempé : incompatible dans le même instant avec Évaporation (SYN_028) — l'état est pris par le premier effet résolu (ordre : Conduction puis Évaporation).;"Cible Trempée : petites gouttes qui tombent (2 px) + motif électrique en pointillés ; déclenchement : 2 trajets d'arcs construits en 2 frames, son sec unique.";Sans cible secondaire, l'arc se referme sur la cible déclenchante : 1 arc à 40 % au lieu de 2 × 30 %, et la cible reste Trempée 0,5 s supplémentaire.
SYN_002;Flaque électrique;CO;"[""SURF_EAU"", ""E_RAITON"", ""STA_04""]";Une attaque Raiton touche le sol ou un ennemi situé sur une surface EAU.;Toute la flaque connexe (cellules EAU contiguës) Électrise les ennemis qui s'y trouvent et leur inflige 20 % des dégâts de base de l'attaque.;"1 fois / 1 s par flaque ; Électrisé respecte son délai interne par cible.";20 ennemis touchés par déclenchement.;Toute source d'EAU (techniques Suiton, EQP_017, cartes à eau) + Raiton.;—;"La flaque s'illumine en bleu-blanc 3 frames avec un quadrillage d'arcs ; son de grésillement étalé.";Le boss sur la flaque subit 35 % au lieu de 20 %.
SYN_003;Embrasement;CO;"[""SURF_HUILE"", ""E_KATON"", ""STA_02"", ""STA_01""]";Une attaque Katon touche une surface HUILE ou un ennemi Imbibé d'huile.;"La nappe devient flamme 3 s : 8 dégâts / 0,5 s × A ; +2 cumuls de Brûlure aux ennemis dessus ; consomme l'huile.";1 embrasement / 1 s par nappe (0,5 s avec EQP_029).;400 cellules actives (plafond de surface).;Katon + source d'huile (JUT_010, PAS_036, EQP_029, Fukasaku et Shima).;L'huile consommée n'est plus disponible pour d'autres combos.;Propagation cellule par cellule en 0,15 s (front visible), fumée noire au-dessus, crépitement grave.;Un boss Imbibé subit 1 embrasement direct de 60 × A (1 fois / 4 s).
SYN_004;Flammes attisées;CO;"[""E_FUTON"", ""E_KATON"", ""ZONE""]";Une attaque Fūton (CONE, ONDE ou ZONE) chevauche une zone Katon persistante du joueur.;La zone Katon gagne +30 % de rayon et +1 s de durée, une fois par instance.;Une fois par instance de zone.;Rayon final ≤ 150 % du rayon avant bonus.;Katon + Fūton (Asuma, Jiraiya, Minato, Madara, Hiruzen, Kakuzu, Temari via partage de run…).;"Aucune ; le recul Fūton est réduit dans la zone (§B8.4).";La zone se gonfle en 4 frames, flammes couchées dans l'axe du vent.;Inchangé (bonus de zone utile autour du boss).
SYN_005;Vapeur;CO;"[""SURF_EAU"", ""E_KATON"", ""STA_23""]";Une attaque Katon touche une surface EAU.;La cellule devient nuage de vapeur 2 s : ennemis dedans Vapeur (−20 % dégâts infligés). Le feu n'est pas éteint et garde ses dégâts.;"Plafond de 60 cellules de vapeur ; 1 conversion par cellule / 2 s.";−20 % (non cumulable).;Katon + eau.;Consomme la cellule d'eau (elle ne peut plus servir à SYN_002 pendant 2 s).;Volutes blanches à bords nets (pas de voile plein écran), sifflement.;Le boss dans la vapeur inflige −10 % seulement (réduit).
SYN_006;Cendres ardentes;CO;"[""SURF_CENDRE"", ""E_KATON"", ""JUT_005""]";Une attaque Katon touche une surface CENDRE.;Explosion de la cellule : 25 × A (r 1 m) et Aveuglé 1 s.;1 fois par cellule.;12 explosions / s.;Asuma (Haisekishō) et tout porteur de Katon qui obtient Haisekishō.;Détruit la surface CENDRE (perte de l'aveuglement continu).;Petits flashs orange contenus à la cellule, sons groupés.;Explosions uniques sur la cellule du boss : 40 × A.
SYN_007;Gel rapide;CO;"[""E_HYOTON"", ""STA_03"", ""STA_05""]";Une attaque Hyōton touche une cible Trempée.;"+2 cumuls de Refroidi au lieu de 1 (Gel plus rapide) ; consomme Trempé.";1 fois / 0,5 s par cible.;Gelé reste limité à 1 s avec immunité 2 s.;Haku (Hyōton + Suiton).;Consomme Trempé (conflit avec Conduction).;Cristaux blancs qui s'étendent sur la cible en 2 frames.;"Boss : Refroidi +2 = ralentissement max −30 % ; Gel converti en Vulnérable +5 %."
SYN_008;Glace brisée;CO;"[""STA_05"", ""CONTACT"", ""EXPLOSIF""]";Une attaque CONTACT ou EXPLOSIF touche un ennemi Gelé.;"+50 % dégâts sur ce coup ; le Gel prend fin ; éclats 15 × A à 1,5 m (SECONDAIRE).";1 fois par Gel.;—;Hyōton + taijutsu ou explosifs.;Termine le contrôle.;Éclatement cristallin en 6 fragments, son aigu.;Boss non gelé : aucun effet (le boss ne se gèle pas).
SYN_009;Embourbement;CO;"[""E_DOTON"", ""SURF_EAU"", ""STA_06""]";Une attaque Doton touche une surface EAU.;La cellule devient boue 3 s : Ensablé +1 par seconde aux ennemis dessus.;1 conversion par cellule / 3 s.;—;Doton + Suiton.;Consomme l'eau (pas de SYN_002 sur cette cellule).;Eau qui brunit, bulles lentes.;Boss : ralentissement plafonné à −30 %.
SYN_010;Tempête de sable;CO;"[""E_FUTON"", ""SURF_SABLE"", ""STA_16""]";Une attaque Fūton traverse une surface SABLE du joueur.;Soulève un nuage mobile 2 s dans la direction du vent : Aveuglé et 4 × A / 0,5 s.;"1 nuage par attaque ; max 3 nuages.";—;Gaara, Gaara Kazekage (sable + Fūton).;La cellule de sable soulevée disparaît.;Nuage ocre en tramage qui se déplace, grains en traînée.;Aveuglé du boss : ses projectiles mineurs dévient de ±10°.
