id;nom;statut;famille;livraison;tags;cible;comportement;valeurs;visuel;acces;limites
JUT_001;Katon — Gōkakyū no Jutsu (Grande boule de feu);OA;KATON;PROJECTILE;"[""E_KATON"", ""EXPLOSIF""]";plus_dense;"Boule lente qui grossit en vol ; explose au premier ennemi ou à 7 m et laisse une flaque de feu 1 s.";"Impact 30 ; explosion 12 (r 1,5 m) ; délai 2,0 s ; vitesse 6 m/s ; rayon proj. 0,8 m ; Brûlure +1";"Masse orange irrégulière à cœur jaune pâle, langues de feu vers l'arrière ; explosion en fleur à 6 lobes, braises retombantes.";ELEM_KATON;"1 boule active par tranche de Quantité ; flaque non cumulable sur elle-même."
JUT_002;Katon — Hōsenka no Jutsu (Fleurs de phénix);OA;KATON;SALVE;"[""E_KATON""]";plus_proche;5 petites flammes en éventail de 60° qui s'incurvent chacune vers une cible différente (ciblage réparti).;"9 par flamme ; délai 1,4 s ; vitesse 10 m/s ; portée 8 m ; Brûlure +1 par touche";"Petites flammes ovales à traîne courbe, trajectoires en pétales ; micro-éclat en étoile à l'impact.";ELEM_KATON;Une même cible reçoit au plus 2 flammes par salve.
JUT_003;Katon — Ryūka no Jutsu (Flamme du dragon);OA;KATON;RAYON;"[""E_KATON"", ""PERCANT""]";plus_menacant;Jet de flammes linéaire maintenu 0,6 s qui balaie légèrement (±8°) vers la cible.;"6 par tick de 0,2 s ; longueur 9 m ; largeur 0,5 m ; délai 3,0 s";"Colonne de flamme segmentée en écailles, tête de dragon esquissée en 6 px au bout ; fumée en bordure.";ELEM_KATON;S'arrête sur les obstacles hauts.
JUT_004;Katon — Karyū Endan (Balles de flammes du dragon);OA;KATON;CONE;"[""E_KATON""]";direction;"Souffle continu en cône de 70° pendant 1 s dans la direction de déplacement ; pose de la Brûlure progressive.";"5 par tick de 0,25 s ; portée 4 m ; délai 2,5 s ; Brûlure +1 par 2 ticks";Nappe de feu qui s'élargit, bordures dentelées, cœur blanc-jaune près de la bouche.;ELEM_KATON;Intervalle par cible 0,25 s.
JUT_005;Katon — Haisekishō (Nuage de cendres ardentes);OA;KATON;DIFFERE;"[""E_KATON"", ""TERRAIN"", ""CONTROLE""]";plus_dense;"Dépose un nuage de cendres (r 3 m) qui Aveugle ; 1,2 s plus tard une étincelle l'embrase.";"Embrasement 35 ; Aveuglé 2 s ; délai 5,0 s ; surface CENDRE 3 s";Nuage gris-beige en volutes à contours foncés, étincelle unique qui court puis flash orange contenu.;ELEM_KATON;1 nuage actif (+1 par Quantité, max 3).
JUT_006;Katon — Gōryūka no Jutsu (Têtes de dragon de feu);OA;KATON;DIFFERE;"[""E_KATON"", ""EXPLOSIF""]";plus_dense;Trois têtes de dragon plongent successivement (0,3 s d'écart) sur les trois zones les plus denses.;"26 par impact ; rayon 1,4 m ; télégraphe allié 0,6 s ; délai 4,0 s";"Tête de dragon dessinée (16×24 px) plongeant en diagonale ; cratère de flammes en étoile.";ELEM_KATON+CLAN_UCHIHA;Les zones ne se chevauchent pas à plus de 50 %.
JUT_007;Katon — Gōka Mekkyaku (Destruction par le grand feu);OA;KATON;ONDE;"[""E_KATON"", ""PERCANT""]";direction;Mur de flammes de 10 m de large qui avance de 8 m devant le joueur puis se dissipe.;"40 ; vitesse du mur 6 m/s ; délai 6,0 s ; Brûlure +2";"Front de feu épais à crête irrégulière, arrière qui noircit en fumée ; sol calciné temporaire.";ELEM_KATON+CLAN_UCHIHA;1 touche par cible par mur.
JUT_008;Katon — Zukokku (Pression de feu);OA;KATON;PROJECTILE;"[""E_KATON"", ""EXPLOSIF""]";plus_dense;Orbe très lent (2 m/s) qui détone si un ennemi passe à 1 m ou après 3 s de vol.;"50 ; rayon 3 m ; délai 5,5 s ; recul léger";"Sphère sombre à contour orange pulsant, halo de chaleur ; détonation en dôme puis anneau de fumée.";ELEM_KATON;Max 2 orbes en vol.
JUT_009;Katon — Endan (Balle de flamme);OA;KATON;PROJECTILE;"[""E_KATON"", ""PERCANT""]";plus_proche;Tir rapide de base qui transperce 2 ennemis en ligne droite.;"14 ; délai 0,9 s ; vitesse 12 m/s ; portée 10 m ; perce 2";"Goutte de feu allongée, traîne courte à 3 frames ; éclat latéral à chaque traversée.";ELEM_KATON;—
JUT_010;Katon — Gamayu Endan (Flammes à l'huile de crapaud);OA;KATON;CONE;"[""E_KATON"", ""TERRAIN""]";plus_dense;Crache d'abord un cône d'huile (surface HUILE), puis l'embrase 0,5 s plus tard : combo en deux temps.;"Huile 0 ; embrasement 30 + Brûlure +2 ; portée 5 m ; angle 50° ; délai 4,5 s";Gerbe brun-jaune luisante, puis vague de feu épaisse qui suit exactement la nappe.;ELEM_KATON+CTR_CRAPAUD;Déclenche SYN_003 une fois par utilisation.
